person	position	declaration_year	source_type	point_code	point_title	declarer/family	content	Sum1_property	Sum2_leasing	Name_of_country	Name_of_currency	Sum3_income_in_currency	block	additional_information	decl_section	
Супруненко Олександр Іванович		2013			Член сім`ї декларанта		дружина, Супруненко О.Л.								Розділ I. Загальні відомості
Супруненко Олександр Іванович		2013			Член сім`ї декларанта		донька, Супруненко О.О.								Розділ I. Загальні відомості
Супруненко Олександр Іванович		2013			Член сім`ї декларанта		донька, Супруненко Л.О.								Розділ I. Загальні відомості
Супруненко Олександр Іванович		2013			Член сім`ї декларанта		син, Супруненко І.О.								Розділ I. Загальні відомості
Супруненко Олександр Іванович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	222 40515							222 40515	Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	459 424							459 424	Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	38 500							38 500	Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2013			матеріальна допомога	декларант	22074804								Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2013			матеріальна допомога	сім'я	219424								Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2013			дохід від відчуження рухомого та нерухомого майна	сім'я	240 000							240 000	Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2013			дохід від відчуження цінних паперів та корпоративних прав	декларант	41 921							41 921	Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2013			дохід від передачі в оренду (строкове володіння та/або користування) майна	декларант	85 290							85 290	Розділ II. Відомості про доходи
Супруненко Олександр Іванович		2013			Земельні ділянки	декларант	1201 							1201 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Квартири	декларант	293.6 							293.6 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Квартири	декларант	313.4 							313.4 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Квартири	декларант	294.4 							294.4 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Квартири	декларант	65.88 							65.88 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Квартири	декларант	22.67 							22.67 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Садовий (дачний) будинок	декларант	664.3 							664.3 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Гаражі	декларант	13.5 							13.5 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Гаражі	декларант	13.5 							13.5 	Розділ III. Відомості про нерухоме майно
Супруненко Олександр Іванович		2013			Інше нерухоме майно	сім'я	88.0 							88.0 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2014			Член сім`ї декларанта		дружина, Куліч К.Е.								Розділ I. Загальні відомості
Куліч Валерій Петрович		2014			Член сім`ї декларанта		донька, Куліч А.В.								Розділ I. Загальні відомості
Куліч Валерій Петрович		2014			Член сім`ї декларанта		донька, Куліч Д.В.								Розділ I. Загальні відомості
Куліч Валерій Петрович		2014			Член сім`ї декларанта		донька, Куліч С.В.								Розділ I. Загальні відомості
Куліч Валерій Петрович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	28159343,75							28159343,75	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	22582,70							22582,70	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	57371,25							57371,25	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	22582,70							22582,70	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2014			дивіденти, проценти	декларант	28101972,50							28101972,50	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2014			Земельні ділянки	декларант	1000,0 							1000,0 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2014			Земельні ділянки	декларант	1000,0; 							1000,0; 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2014			Житлові будинки	декларант	384,2 							384,2 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2014			Квартири	декларант	44,1 							44,1 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2014			Квартири	декларант	203,5; 							203,5; 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2014			Гаражі	декларант	32,0 							32,0 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2014			Земельні ділянки	сім'я	500,0 							500,0 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2014			Автомобілі легкові	декларант	Lexus GX 460, 4608 куб.см , 2010 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2014			Автомобілі легкові	декларант	BMW 740 D, 2993 куб.см , 2012 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2014			Автомобілі легкові	декларант	"ВАЗ 2121 ""Нива"", 1589 куб.см , 1988 р.в."								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2014			Автомобілі легкові	декларант	Toyota Prado, 2982 куб.см , 2014 р.в.	831086 							Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2014			Автомобілі легкові	сім'я	Toyota Venza, 2700 куб.см , 2011 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2014			Автомобілі легкові	сім'я	Hyundai Santa Fe, 2200 куб.см , 2012 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2014			Автомобілі легкові	сім'я	ВАЗ 2106, 1600 куб.см , 1986 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2014			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	235531,26 							235531,26 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Куліч Валерій Петрович		2014			вкладених у звітному році	декларант	235531,26 							235531,26 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Куліч Валерій Петрович		2014			Розмір внесків до статутного (складеного) капіталу товариства, підприємства, організації, у т.ч.:	декларант	10060950 							10060950 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Куліч Валерій Петрович		2014			Утримання зазначеного у розділах III-V майна	декларант	84000 							84000 	Розділ VI. Відомості про фінансові зобов'язання 
Куліч Валерій Петрович		2013			Член сім`ї декларанта		дружина, Куліч К.Е.								Розділ I. Загальні відомості
Куліч Валерій Петрович		2013			Член сім`ї декларанта		донька, Куліч А.В.								Розділ I. Загальні відомості
Куліч Валерій Петрович		2013			Член сім`ї декларанта		донька, Куліч Д.В.								Розділ I. Загальні відомості
Куліч Валерій Петрович		2013			Член сім`ї декларанта		донька, Куліч С.В.								Розділ I. Загальні відомості
Куліч Валерій Петрович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	12057 795.0							12057 795.0	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	21680.0							21680.0	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	45680.0							45680.0	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	21680.0							21680.0	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2013			дивіденти, проценти	декларант	12000000								Розділ II. Відомості про доходи
Куліч Валерій Петрович		2013			дохід від відчуження цінних паперів та корпоративних прав	декларант	12115.0							12115.0	Розділ II. Відомості про доходи
Куліч Валерій Петрович		2013			Земельні ділянки	декларант	1000.0 							1000.0 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2013			Земельні ділянки	декларант	1000.0 							1000.0 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2013			Житлові будинки	декларант	384.2 							384.2 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2013			Квартири	декларант	44.1 							44.1 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2013			Квартири	декларант	203.5 							203.5 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2013			Гаражі	декларант	32.0 							32.0 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2013			Земельні ділянки	сім'я	500.0 							500.0 	Розділ III. Відомості про нерухоме майно
Куліч Валерій Петрович		2013			Автомобілі легкові	декларант	Lexus GX 460, 4608 куб.см , 2010 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2013			Автомобілі легкові	декларант	BMW 740D, 2993 куб.см , 2012 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2013			Автомобілі легкові	декларант	"ВАЗ 2121 ""Нива"" 1589 куб.см , 1988 р.в."								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2013			Автомобілі легкові	сім'я	Toyota Venza 2700 куб.см , 2011 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2013			Автомобілі легкові	сім'я	Hyunday Santa Fe 2200 куб.см , 2012 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2013			Автомобілі легкові	сім'я	ВАЗ 2106 1600 куб.см , 1986 р.в.								Розділ IV. Відомості про транспортні засоби
Куліч Валерій Петрович		2013			Утримання зазначеного у розділах III-V майна	декларант	32000 							32000 	Розділ VI. Відомості про фінансові зобов'язання 
Добродомов Дмитро Євгенович		2014			Член сім`ї декларанта		дружина, Мосолова О.Є.								Розділ I. Загальні відомості
Добродомов Дмитро Євгенович		2014			Член сім`ї декларанта		донька, Добродомова А.Д.								Розділ I. Загальні відомості
Добродомов Дмитро Євгенович		2014			Член сім`ї декларанта		син, Добродомов О.Д.								Розділ I. Загальні відомості
Добродомов Дмитро Євгенович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	98856,5							98856,5	Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	379144								Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	57856,5							57856,5	Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	379144								Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2014			дохід від відчуження рухомого та нерухомого майна	декларант	41000								Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2014			Квартири	декларант	139,2 	390909,99 						139,2 	Розділ III. Відомості про нерухоме майно
Добродомов Дмитро Євгенович		2014			Квартири	сім'я	34,9 							34,9 	Розділ III. Відомості про нерухоме майно
Добродомов Дмитро Євгенович		2014			Автомобілі легкові	сім'я	Mersedes-Benz E 200 (1796 - об'єм двиг.) , 2006 р.в.								Розділ IV. Відомості про транспортні засоби
Добродомов Дмитро Євгенович		2013			Член сім`ї декларанта		дружина, Мосолова О.Є.								Розділ I. Загальні відомості
Добродомов Дмитро Євгенович		2013			Член сім`ї декларанта		донька, Добродомова А.Д.								Розділ I. Загальні відомості
Добродомов Дмитро Євгенович		2013			Член сім`ї декларанта		син, Добродомов О.Д.								Розділ I. Загальні відомості
Добродомов Дмитро Євгенович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	481050								Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	53739,5							53739,5	Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	72000								Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	53739,5							53739,5	Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2013			дохід від відчуження рухомого та нерухомого майна	декларант	409050								Розділ II. Відомості про доходи
Добродомов Дмитро Євгенович		2013			Квартири	декларант	50,3 							50,3 	Розділ III. Відомості про нерухоме майно
Добродомов Дмитро Євгенович		2013			Інші не зазначені у розділах III-V витрати	декларант	862 220 							862 220 	Розділ VI. Відомості про фінансові зобов'язання 
Павлов Костянтин Юрійович		2014			Член сім`ї декларанта		дружина, Павлова О.В.								Розділ I. Загальні відомості
Павлов Костянтин Юрійович		2014			Член сім`ї декларанта		син, Павлов Ю.К.								Розділ I. Загальні відомості
Павлов Костянтин Юрійович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	180768								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	145754								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	171084								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2014			дивіденти, проценти	декларант	9684								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2014			дивіденти, проценти	сім'я	444								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2014			дохід від відчуження рухомого та нерухомого майна	сім'я	145310								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2014			Земельні ділянки	декларант	172,75 							172,75 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2014			Земельні ділянки	декларант	1545,0 							1545,0 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2014			Житлові будинки	декларант	13,83 							13,83 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2014			Житлові будинки	декларант	241,20 							241,20 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2014			Гаражі	декларант	21,84 							21,84 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2014			Квартири	сім'я	69,1 							69,1 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2014			Автомобілі легкові	сім'я	Toyota Highlander, 3456 куб.см; 201 кВт; 478,5 см , 2013 р.в.								Розділ IV. Відомості про транспортні засоби
Павлов Костянтин Юрійович		2014			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	69400 							69400 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Павлов Костянтин Юрійович		2014			вкладених у звітному році	декларант	22959 							22959 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Павлов Костянтин Юрійович		2014			Сума коштів на рахунках у банках та інших фінансових установах	сім'я	796 							796 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Павлов Костянтин Юрійович		2014			Утримання зазначеного у розділах III-V майна	декларант	5738 							5738 	Розділ VI. Відомості про фінансові зобов'язання 
Павлов Костянтин Юрійович		2014			Погашення основної суми позики (кредиту)	декларант	193877 							193877 	Розділ VI. Відомості про фінансові зобов'язання 
Павлов Костянтин Юрійович		2014			Погашення суми процентів за позикою (кредитом)	декларант	159 							159 	Розділ VI. Відомості про фінансові зобов'язання 
Павлов Костянтин Юрійович		2014			Інші не зазначені у розділах III-V витрати	декларант	35150 							35150 	Розділ VI. Відомості про фінансові зобов'язання 
Павлов Костянтин Юрійович		2014			Утримання зазначеного у розділах III-V майна	сім'я	6198 							6198 	Розділ VI. Відомості про фінансові зобов'язання 
Павлов Костянтин Юрійович		2013			Член сім`ї декларанта		дружина, Павлова О.В.								Розділ I. Загальні відомості
Павлов Костянтин Юрійович		2013			Член сім`ї декларанта		син, Павлов Ю.К.								Розділ I. Загальні відомості
Павлов Костянтин Юрійович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	243 251							243 251	Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	20692								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	205 253							205 253	Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2013			дивіденти, проценти	декларант	2904								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2013			дивіденти, проценти	сім'я	20692								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2013			матеріальна допомога	декларант	35094								Розділ II. Відомості про доходи
Павлов Костянтин Юрійович		2013			Земельні ділянки	декларант	172.75 							172.75 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2013			Земельні ділянки	декларант	1545.0 							1545.0 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2013			Житлові будинки	декларант	13.83 							13.83 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2013			Житлові будинки	декларант	241.20 							241.20 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2013			Гаражі	декларант	21.84 							21.84 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2013			Квартири	сім'я	69.1 							69.1 	Розділ III. Відомості про нерухоме майно
Павлов Костянтин Юрійович		2013			Автомобілі легкові	сім'я	Mitsubishi Outlander XL, 2360 куб.см 125 кВт 466.5см , 2008 р.в.								Розділ IV. Відомості про транспортні засоби
Павлов Костянтин Юрійович		2013			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	64 279 							64 279 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Павлов Костянтин Юрійович		2013			вкладених у звітному році	декларант	51 492 							51 492 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Павлов Костянтин Юрійович		2013			Сума коштів на рахунках у банках та інших фінансових установах	сім'я	242 201 							242 201 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Павлов Костянтин Юрійович		2013			Добровільне страхування	декларант	21 780 							21 780 	Розділ VI. Відомості про фінансові зобов'язання 
Павлов Костянтин Юрійович		2013			Утримання зазначеного у розділах III-V майна	декларант	4499 							4499 	Розділ VI. Відомості про фінансові зобов'язання 
Павлов Костянтин Юрійович		2013			Інші не зазначені у розділах III-V витрати	декларант	35150 							35150 	Розділ VI. Відомості про фінансові зобов'язання 
